OXFORD LASERS IMAGING SYSTEMS
VISISIZE ANALYSIS REPORT
VisiSize 6.5.44
C:\USERS\USER\DESKTOP\231121 - TXC\231121-152512-2-1B-2B-4X.TXT
21/11/2023 15:26:10
Size mode
Run: Run1(Live sequence:  - )

231121-152512-2-1b-2b-4x
Calibration: C:\Program Files (x86)\Oxford Lasers\VisiSize\Calibration\B1921_LO3X_4X.clb
B1921 Camera, Standard Lens Option 3X, Magnification Setting 4X, Type 2 .clb file

"p_air"	"2b"
"Nozzle ID"	"SUJ12"
"User"	"Lorenzo Becce"
"zDist"	"30"
"Nozzle specimen"	"txc"

SAMPLE ANALYSIS SUMMARY (diameters in microns)
Averages:
"Arithmetic mean"	16.4
"Surface mean"	18.3
"Volume mean"	21.3
"Sauter mean"	28.6
"Volume-weighted mean"	63.5
"Average velocity"	0.000e+00
Spread:
"Minimum diameter"	8.0
"Maximum diameter"	158.0
"Relative span"	2.21
"Deviation"	0.5
"Min velocity"	1000.0
"Max velocity"	0.0
Volume percentiles:
"10%"	14.8
"50%"	33.5
"90%"	88.7
"Sphericity"	0.89
Density:
"Particles/mm3"	2.53
"Surface area density(mm2/mm3)"	2.676e-03
"Volume density"	1.274e-05

PERFORMANCE SUMMARY
"In-focus count"	15023
"Video frames"	1707
"Empty frames"	79
"Particles / frame"	8.8
"Background intensity"	154
"Micron/pixel ratio"	1.353
"Magnification"	4.07
"Field of view (microns)"	"2641 x 1504"
"Max. Probe depth (microns)"	27428
"Max. Probe volume (cu mm)"	108.9449
"Surface area / volume ratio"	210.0
"Focus reject %"	79.5
"Shape reject %"	0.8
"Border reject %"	3.04
"Run time (sec)"	58

SYSTEM SETTINGS
"Focus rejection"	"ON"
"Border rejection"	"ON"
"DOF correction"	"ON"
"Edge contact correction"	"OFF"
"Shape rejection"	"ON"
"Background intensity rejection"	"OFF"
"System details"	""
"Micron/pixel ratio"	1.353
"Minimum particle area"	42
"Horizontal indents"	"0, 0"
"Vertical indents"	"0, 0"
"Threshold"	"Adaptive: 85"
"Diameter smoothing"	"None"
"Probe depth not restricted"	""
"Maximum particle area"	417832
"Shape parameter"	0.60
"Background rejection limits"	"120, 250"

"DIAMETER (microns)",,"RAW COUNT","PROBE VOLUME","% NUMBER","% AREA","% VOLUME","CUM % VOL"
   89.0,    91.9,      6,     17.7,   0.01,   0.19,   0.59, 90.8390, 
   91.9,    94.8,     12,     18.3,   0.02,   0.39,   1.28, 92.1203, 
   94.8,    97.8,      4,     18.8,   0.00,   0.14,   0.45, 92.5748, 
   97.8,   101.0,      8,     19.3,   0.01,   0.28,   0.97, 93.5407, 
  101.0,   104.2,      5,     19.9,   0.01,   0.18,   0.65, 94.1897, 
  104.2,   107.5,      4,     20.4,   0.00,   0.15,   0.55, 94.7423, 
  107.5,   111.0,      4,       21,   0.00,   0.16,   0.60, 95.3471, 
  111.0,   114.5,      3,     21.6,   0.00,   0.12,   0.49, 95.8376, 
  114.5,   118.1,      6,     22.2,   0.01,   0.25,   1.02, 96.8559, 
  118.1,   121.9,      3,     22.8,   0.00,   0.13,   0.54, 97.3966, 
  121.9,   125.8,      0,     23.4,   0.00,   0.00,   0.00, 97.3966, 
  125.8,   129.8,      4,     24.1,   0.00,   0.19,   0.82, 98.2216, 
  129.8,   134.0,      2,     24.7,   0.00,   0.09,   0.43, 98.6538, 
  134.0,   138.2,      2,     25.4,   0.00,   0.10,   0.48, 99.1358, 
  138.2,   142.7,      1,     26.1,   0.00,   0.05,   0.25, 99.3868, 
  142.7,   147.2,      1,     26.8,   0.00,   0.06,   0.28, 99.6717, 
  147.2,   151.9,      0,     27.5,   0.00,   0.00,   0.00, 99.6717, 
  151.9,   156.8,      0,     28.2,   0.00,   0.00,   0.00, 99.6717, 
  156.8,   161.8,      1,     28.9,   0.00,   0.06,   0.33, 100.0000, 
